name,mass,year,reclat,reclong
Rwampara,2026-06-17,120,1.4054216,30.3451432
Rwampara,2026-06-17,38,1.4054216,30.3451432
Bunia,2026-06-17,6,1.5620529,30.2478844
Bunia,2026-06-17,90,1.5620529,30.2478844
Bunia,2026-06-17,203,1.5620529,30.2478844
Bunia,2026-06-17,0,1.5620529,30.2478844
Bunia,2026-06-17,23,1.5620529,30.2478844
Butembo,2026-06-17,1,0.1249694,29.2919545
Butembo,2026-06-17,1,0.1249694,29.2919545
Goma,2026-06-17,1,-1.6665685,29.225652
Goma,2026-06-17,1,-1.6665685,29.225652
Katwa,2026-06-17,1,0.0933492,29.3092446
Katwa,2026-06-17,1,0.0933492,29.3092446
Mongbalu,2026-06-17,13,2.0295097,21.1757928
Mongbalu,2026-06-17,309,2.0295097,21.1757928
Mongbalu,2026-06-17,176,2.0295097,21.1757928
Mongbalu,2026-06-17,0,2.0295097,21.1757928
Mongbalu,2026-06-17,77,2.0295097,21.1757928
Nyakunde,2026-06-17,4,1.534167,30.2478035
Nyakunde,2026-06-17,19,1.534167,30.2478035
Nyakunde,2026-06-17,133,1.534167,30.2478035
Nyakunde,2026-06-17,0,1.534167,30.2478035
Nyakunde,2026-06-17,5,1.534167,30.2478035
Rwampara,2026-06-17,25,1.4054216,30.3451432
Rwampara,2026-06-17,154,1.4054216,30.3451432
Rwampara,2026-06-17,335,1.4054216,30.3451432
Rwampara,2026-06-17,0,1.4054216,30.3451432
Rwampara,2026-06-17,43,1.4054216,30.3451432
Bambu,2026-06-17,1,-1.0826459,29.2271987
Bambu,2026-06-17,2,-1.0826459,29.2271987
Bambu,2026-06-17,128,-1.0826459,29.2271987
Bunia,2026-06-17,11,1.5620529,30.2478844
Bunia,2026-06-17,125,1.5620529,30.2478844
Bunia,2026-06-17,203,1.5620529,30.2478844
Bunia,2026-06-17,0,1.5620529,30.2478844
Bunia,2026-06-17,31,1.5620529,30.2478844
Butembo,2026-06-17,1,0.1249694,29.2919545
Butembo,2026-06-17,7,0.1249694,29.2919545
Butembo,2026-06-17,0,0.1249694,29.2919545
Goma,2026-06-17,1,-1.6665685,29.225652
Goma,2026-06-17,0,-1.6665685,29.225652
Katwa,2026-06-17,1,0.0933492,29.3092446
Katwa,2026-06-17,13,0.0933492,29.3092446
Katwa,2026-06-17,0,0.0933492,29.3092446
Mongbalu,2026-06-17,13,2.0295097,21.1757928
Mongbalu,2026-06-17,317,2.0295097,21.1757928
Mongbalu,2026-06-17,176,2.0295097,21.1757928
Mongbalu,2026-06-17,0,2.0295097,21.1757928
Mongbalu,2026-06-17,80,2.0295097,21.1757928
Nyakunde,2026-06-17,5,1.534167,30.2478035
Nyakunde,2026-06-17,28,1.534167,30.2478035
Nyakunde,2026-06-17,133,1.534167,30.2478035
Nyakunde,2026-06-17,0,1.534167,30.2478035
Nyakunde,2026-06-17,5,1.534167,30.2478035
Rwampara,2026-06-17,24,1.4054216,30.3451432
Rwampara,2026-06-17,179,1.4054216,30.3451432
